processed_name,proper_name,suggested_unit,suggested_unit_url,url
carbon monoxide concentration,carbon monoxide concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_monoxide_concentration
carbon organic concentration,carbon - organic concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_organic_concentration
carbon suspended inorganic concentration,carbon - suspended inorganic concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_suspended_inorganic_concentration
carbon suspended organic concentration,carbon - suspended organic concentration,,,http://registry.it.csiro.au/def/environment/property/carbon_suspended_organic_concentration
carbon suspended total,carbon - suspended total,,,http://registry.it.csiro.au/def/environment/property/carbon_suspended_total
carbonate concentration,carbonate concentration,,,http://registry.it.csiro.au/def/environment/property/carbonate_concentration
cation concentration,cation concentration,Milli Equivalent Per Litre | Percent,http://registry.it.csiro.au/def/environment/unit/MilliEquivalentPerLitre | http://qudt.org/vocab/unit#Percent,http://registry.it.csiro.au/def/environment/property/cation_concentration
cerium concentration,cerium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/cerium_concentration
chemical compound concentration,chemical compound concentration,,,http://registry.it.csiro.au/def/environment/property/chemical_compound_concentration
chemical entity concentration,chemical entity concentration,,,http://registry.it.csiro.au/def/environment/property/chemical_entity_concentration
chemical oxygen demand,chemical oxygen demand,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chemical_oxygen_demand
chemistry observable properties@en,chemistry observable properties@en,,,http://registry.it.csiro.au/def/environment/property/chemistry_observables
chlordane concentration,chlordane concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/chlordane_concentration
chloride concentration,chloride concentration,Milligrams Per Kilogram | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloride_concentration
chlorinated volatile organic compound concentration,chlorinated volatile organic compound concentration,,,http://registry.it.csiro.au/def/environment/property/chlorinated_volatile_organic_compound_concentration
chlorine 36 concentration,chlorine 36 concentration,Atoms Per Litre,http://registry.it.csiro.au/def/environment/unit/AtomsPerLitre,http://registry.it.csiro.au/def/environment/property/chlorine_36_concentration
chlorine concentration,chlorine concentration,,,http://registry.it.csiro.au/def/environment/property/chlorine_concentration
1 chloro 2 methylbenzene concentration,1-chloro-2-methylbenzene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloro_1-methylbenzene_2_concentration
1 chloro 4 methylbenzene concentration,1-chloro-4-methylbenzene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloro_1-methylbenzene_4_concentration
4 chloro 3 methylphenol concentration,4-chloro-3-methylphenol concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloro_4-methylphenol_3_concentration
chlorobenzene concentration,chlorobenzene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chlorobenzene_concentration
chloroethane concentration,chloroethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloroethane_concentration
chloroethene concentration,chloroethene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloroethene_concentration
chloroform concentration,chloroform concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloroform_concentration
chloromethane concentration,chloromethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chloromethane_concentration
2 chlorophenol 3 4 5 6 d4 concentration,"2-chlorophenol-3,4,5,6-D4 concentration",Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/chlorophenol_2_3456-D4_concentration
2 chlorophenol concentration,2-chlorophenol concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/chlorophenol_2_concentration
chlorophenylmethane concentration,chlorophenylmethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chlorophenylmethane_concentration
chlorophyll a concentration,chlorophyll a concentration,,,http://registry.it.csiro.au/def/environment/property/chlorophyll_a_concentration
chlorophyll b concentration,chlorophyll b concentration,,,http://registry.it.csiro.au/def/environment/property/chlorophyll_b_concentration
chlorophyll c concentration,chlorophyll c concentration,,,http://registry.it.csiro.au/def/environment/property/chlorophyll_c_concentration
chlorophyll concentration,chlorophyll concentration,,,http://registry.it.csiro.au/def/environment/property/chlorophyll_concentration
chlorpyrifos concentration,chlorpyrifos concentration,Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/chlorpyrifos_concentration
chromium concentration,chromium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/chromium_concentration
chromium  hexavalent concentration,"chromium, hexavalent concentration",,,http://registry.it.csiro.au/def/environment/property/chromium_hexavalent_concentration
chromium  trivalent concentration,"chromium, trivalent concentration",,,http://registry.it.csiro.au/def/environment/property/chromium_trivalent_concentration
chrysene concentration,chrysene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/chrysene_concentration
clay fraction,clay fraction,Milligrams Per Litre | Kilogram Per Cubic Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://qudt.org/vocab/unit#KilogramPerCubicMeter,http://registry.it.csiro.au/def/environment/property/clay_fraction
cobalt concentration,cobalt concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/cobalt_concentration
coliform concentration,coliform concentration,Colony Forming Unit,http://qudt.org/vocab/unit#ColonyFormingUnit,http://registry.it.csiro.au/def/environment/property/coliform_concentration
water colour,water colour,Hazen,http://registry.it.csiro.au/def/environment/unit/Hazen,http://registry.it.csiro.au/def/environment/property/colour_water
copper concentration,copper concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/copper_concentration
crocodile concentration,crocodile concentration,Number,http://qudt.org/vocab/unit#Number,http://registry.it.csiro.au/def/environment/property/crocodile_concentration
degree heating days@en,degree heating days@en,Day,http://qudt.org/vocab/unit#Day,http://registry.it.csiro.au/def/environment/property/degree_heating_day_counts
degree heating days,degree heating days,Degree Celsius Heating Day,http://registry.it.csiro.au/def/environment/unit/DegreeCelsiusHeatingDay,http://registry.it.csiro.au/def/environment/property/degree_heating_days
deuterium concentration,deuterium concentration,,,http://registry.it.csiro.au/def/environment/property/deuterium_concentration
dew point temperature,dew point temperature,Degree Celsius,http://qudt.org/vocab/unit#DegreeCelsius,http://registry.it.csiro.au/def/environment/property/dew_point_temperature
dibenza hanthracene concentration,"dibenz[a,h]anthracene concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dibenz_a_h_anthracene_concentration
1 2 dibromo 3 chloropropane concentration,"1,2-dibromo-3-chloropropane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dibromo-3-chloropropane_12_concentration
dibromochloromethane concentration,dibromochloromethane concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/dibromochloromethane_concentration
1 2 dibromoethane concentration,"1,2-dibromoethane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dibromoethane_12_concentration
dibromomethane concentration,dibromomethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dibromomethane_concentration
1 1 dichloro 1 propene concentration,"1,1-dichloro-1-propene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/dichloro-1-propene_11_concentration
