@id,qudt:abbreviation,qudt:code,qudt:conversionMultiplier,qudt:conversionOffset,qudt:currencyExponent,qudt:description,qudt:exactMatch,qudt:literal,qudt:quantityKind,qudt:symbol,qudt:uneceCommonCode,rdf:type,rdfs:label,skos:closeMatch,skos:exactMatch
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Milligravity>,'mG'^^xsd:string,'2105'^^xsd:string,9.80665E-3,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/LinearAcceleration>,'mG'^^xsd:string,"",qudt:NotUsedWithSIUnit|qudt:Unit|qudt:LinearAccelerationUnit|qudt:DerivedUnit,'Milligravity'^^xsd:string,"",<http://qudt.org/vocab/unit#Milligravity>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Millimeter>,'m^-3'^^xsd:string,'1093'^^xsd:string,0.001,0.0,"","","","","",'mm'^^xsd:string,"",qudt:DerivedUnit|qudt:Unit|qudt:LengthUnit|qudt:SIUnit,'Millimeter'^^xsd:string,"",<http://qudt.org/vocab/unit#Millimeter>|<http://dbpedia.org/resource/Millimetre>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MillimeterOfMercury>,'mmHg'^^xsd:string,'1175'^^xsd:string,86014.2806,0.0,"","'The millimeter of mercury is defined as the pressure exerted at the base of a column of fluid exactly 1 mm high, when the density of the fluid is exactly 13.5951 g/cm3, at a place where the acceleration of gravity is exactly 9.80665 m/s^2.'^^xsd:string","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ForcePerArea>,'mmHg'^^xsd:string,"",qudt:NotUsedWithSIUnit|qudt:PressureOrStressUnit|qudt:NonSIUnit|qudt:Unit,'Millimeter of Mercury'^^xsd:string,"",<http://qudt.org/vocab/unit#MillimeterOfMercury>|<http://dbpedia.org/resource/Torr>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MillimeterOfMercuryAbsolute>,'mmHgA'^^xsd:string,'2002'^^xsd:string,"","","",'Millimeters of Mercury inclusive of atmospheric pressure'^^xsd:string,"","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/ForcePerArea>,'mmHgA'^^xsd:string,"",qudt:PressureOrStressUnit|qudt:Unit|qudt:NotUsedWithSIUnit|qudt:NonSIUnit,'Millimeter of Mercury - Absolute'^^xsd:string,"",<http://qudt.org/vocab/unit#MillimeterOfMercuryAbsolute>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MillionDollarsPerFlight>,'M$/Flight'^^xsd:string,'1185'^^xsd:string,"","","","","","","",'M$/Flight'^^xsd:string,"",qudt:DerivedUnit|qudt:Unit|qudt:FinancialUnit,'Million US Dollars per Flight'^^xsd:string,"",<http://qudt.org/vocab/unit#MillionDollarsPerFlight>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MillionDollarsPerYear>,'M$/yr'^^xsd:string,'1190'^^xsd:string,"","","","","","","",'M$/yr'^^xsd:string,"",qudt:DerivedUnit|qudt:Unit|qudt:RateOfReturnUnit,'Million US Dollars per Year'^^xsd:string,"",<http://qudt.org/vocab/unit#MillionDollarsPerYear>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MillionUSDollars>,'Million USD'^^xsd:string,'1180'^^xsd:string,1.0E6,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Currency>,"","",qudt:DerivedUnit|qudt:CurrencyUnit|qudt:Unit,'Million US Dollars'^^xsd:string,"",<http://qudt.org/vocab/unit#MillionUSDollars>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MinuteAngle>,"","",0.0002908882,0.0,"","","",'minute [unit of angle]'^^xsd:string,"",'\''^^xsd:string,'D61'^^xsd:string,qudt:Unit|qudt:AngleUnit,'Minute Angle'^^xsd:string,"",<http://qudt.org/vocab/unit#MinuteAngle>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MinuteSidereal>,'min'^^xsd:string,'1200'^^xsd:string,"","","","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Time>,'min'^^xsd:string,"",qudt:Unit|qudt:UsedWithSIUnit|qudt:TimeUnit,'Minute Sidereal'^^xsd:string,"",<http://qudt.org/vocab/unit#MinuteSidereal>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MinuteTime>,'min'^^xsd:string,'1205'^^xsd:string,60.0,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Time>,'min'^^xsd:string,"",qudt:TimeUnit|qudt:Unit|qudt:UsedWithSIUnit,'Minute Time'^^xsd:string,"",<http://qudt.org/vocab/unit#MinuteTime>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MoldovanLeu>,'MDL'^^xsd:string,'498'^^xsd:string,"","",2,Moldova,"","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/Currency>,"","",qudt:Unit|qudt:CurrencyUnit,'Moldovan Leu'^^xsd:string,"",<http://qudt.org/vocab/unit#MoldovanLeu>|<http://dbpedia.org/resource/Moldovan_leu>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/Mole>,'mol'^^xsd:string,'1210'^^xsd:string,1,0.0,"","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/AmountOfSubstance>,'mol'^^xsd:string,'C34'^^xsd:string,qudt:AmountOfSubstanceUnit|qudt:SIBaseUnit|qudt:Unit,'Mole'^^xsd:string,"",<http://dbpedia.org/resource/Mole_%28unit%29>|<http://qudt.org/vocab/unit#Mole>
<http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/MoleDegreeCelsius>,'mol-degC'^^xsd:string,'2004'^^xsd:string,"","","","","","",<http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/TemperatureAmountOfSubstance>,'mol-degC'^^xsd:string,"",qudt:AmountOfSubstanceTemperatureUnit|qudt:ThermodynamicsUnit|qudt:DerivedUnit|qudt:Unit,'Mole Degree Celsius'^^xsd:string,"",<http://qudt.org/vocab/unit#MoleDegreeCelsius>
